U+0009, CHARACTER TABULATION                   , Tab
U+2002, EN SPACE                               , ensp
U+2003, EM SPACE                               , emsp
U+2004, THREE-PER-EM SPACE                     , emsp13
U+2005, FOUR-PER-EM SPACE                      , emsp14
U+2007, FIGURE SPACE                           , numsp
U+2008, PUNCTUATION SPACE                      , puncsp
U+2009, THIN SPACE                             , thinsp, ThinSpace
U+200A, HAIR SPACE                             , hairsp, VeryThinSpace
U+200B, ZERO WIDTH SPACE                       , ZeroWidthSpace, NegativeVeryThinSpace, NegativeThinSpace, NegativeMediumSpace, NegativeThickSpace
U+200C, ZERO WIDTH NON-JOINER                  , zwnj
U+200D, ZERO WIDTH JOINER                      , zwj
U+200E, LEFT-TO-RIGHT MARK                     , lrm
U+200F, RIGHT-TO-LEFT MARK                     , rlm
U+2010, HYPHEN                                 , hyphen, dash
U+2013, EN DASH                                , ndash
U+2014, EM DASH                                , mdash
U+2015, HORIZONTAL BAR                         , horbar
U+2016, DOUBLE VERTICAL LINE                   , Verbar, Vert
U+2018, LEFT SINGLE QUOTATION MARK             , lsquo, OpenCurlyQuote
U+2019, RIGHT SINGLE QUOTATION MARK            , rsquo, rsquor, CloseCurlyQuote
U+201A, SINGLE LOW-9 QUOTATION MARK            , lsquor, sbquo
U+201C, LEFT DOUBLE QUOTATION MARK             , ldquo, OpenCurlyDoubleQuote
U+201D, RIGHT DOUBLE QUOTATION MARK            , rdquo, rdquor, CloseCurlyDoubleQuote
U+201E, DOUBLE LOW-9 QUOTATION MARK            , ldquor, bdquo
U+2020, DAGGER                                 , dagger
U+2021, DOUBLE DAGGER                          , Dagger, ddagger
U+2022, BULLET                                 , bull, bullet
U+2025, TWO DOT LEADER                         , nldr
U+2026, HORIZONTAL ELLIPSIS                    , hellip, mldr
U+2030, PER MILLE SIGN                         , permil
U+2031, PER TEN THOUSAND SIGN                  , pertenk
U+2032, PRIME                                  , prime
U+2033, DOUBLE PRIME                           , Prime
U+2034, TRIPLE PRIME                           , tprime
U+2035, REVERSED PRIME                         , bprime, backprime
U+2039, SINGLE LEFT-POINTING ANGLE QUOTATION MARK, lsaquo
U+203A, SINGLE RIGHT-POINTING ANGLE QUOTATION MARK, rsaquo
U+203E, OVERLINE                               , oline, OverBar
U+2041, CARET INSERTION POINT                  , caret
U+2043, HYPHEN BULLET                          , hybull
U+2044, FRACTION SLASH                         , frasl
U+204F, REVERSED SEMICOLON                     , bsemi
U+2057, QUADRUPLE PRIME                        , qprime
U+205F, MEDIUM MATHEMATICAL SPACE              , MediumSpace
U+205F U+200A, space of width 5/18 em                 , ThickSpace
U+2060, WORD JOINER                            , NoBreak
U+2061, FUNCTION APPLICATION                   , ApplyFunction, af
U+2062, INVISIBLE TIMES                        , InvisibleTimes, it
U+2063, INVISIBLE SEPARATOR                    , InvisibleComma, ic
U+20AC, EURO SIGN                              , euro
U+20DB, COMBINING THREE DOTS ABOVE             , tdot, TripleDot
U+20DC, COMBINING FOUR DOTS ABOVE              , DotDot
U+2102, DOUBLE-STRUCK CAPITAL C                , Copf, complexes
U+2105, CARE OF                                , incare
U+210A, SCRIPT SMALL G                         , gscr
U+210B, SCRIPT CAPITAL H                       , hamilt, HilbertSpace, Hscr
U+210C, BLACK-LETTER CAPITAL H                 , Hfr, Poincareplane
U+210D, DOUBLE-STRUCK CAPITAL H                , quaternions, Hopf
U+210E, PLANCK CONSTANT                        , planckh
U+210F, PLANCK CONSTANT OVER TWO PI            , planck, hbar, plankv, hslash
U+2110, SCRIPT CAPITAL I                       , Iscr, imagline
U+2111, BLACK-LETTER CAPITAL I                 , image, Im, imagpart, Ifr
U+2112, SCRIPT CAPITAL L                       , Lscr, lagran, Laplacetrf
U+2113, SCRIPT SMALL L                         , ell
U+2115, DOUBLE-STRUCK CAPITAL N                , Nopf, naturals
U+2116, NUMERO SIGN                            , numero
U+2117, SOUND RECORDING COPYRIGHT              , copysr
U+2118, SCRIPT CAPITAL P                       , weierp, wp
U+2119, DOUBLE-STRUCK CAPITAL P                , Popf, primes
U+211A, DOUBLE-STRUCK CAPITAL Q                , rationals, Qopf
U+211B, SCRIPT CAPITAL R                       , Rscr, realine
U+211C, BLACK-LETTER CAPITAL R                 , real, Re, realpart, Rfr
U+211D, DOUBLE-STRUCK CAPITAL R                , reals, Ropf
U+211E, PRESCRIPTION TAKE                      , rx
U+2122, TRADE MARK SIGN                        , trade, TRADE
U+2124, DOUBLE-STRUCK CAPITAL Z                , integers, Zopf
U+2127, INVERTED OHM SIGN                      , mho
U+2128, BLACK-LETTER CAPITAL Z                 , Zfr, zeetrf
U+2129, TURNED GREEK SMALL LETTER IOTA         , iiota
U+212C, SCRIPT CAPITAL B                       , bernou, Bernoullis, Bscr
U+212D, BLACK-LETTER CAPITAL C                 , Cfr, Cayleys
U+212F, SCRIPT SMALL E                         , escr
U+2130, SCRIPT CAPITAL E                       , Escr, expectation
U+2131, SCRIPT CAPITAL F                       , Fscr, Fouriertrf
U+2133, SCRIPT CAPITAL M                       , phmmat, Mellintrf, Mscr
U+2134, SCRIPT SMALL O                         , order, orderof, oscr
U+2135, ALEF SYMBOL                            , alefsym, aleph
U+2136, BET SYMBOL                             , beth
U+2137, GIMEL SYMBOL                           , gimel
U+2138, DALET SYMBOL                           , daleth
U+2145, DOUBLE-STRUCK ITALIC CAPITAL D         , CapitalDifferentialD, DD
U+2146, DOUBLE-STRUCK ITALIC SMALL D           , DifferentialD, dd
U+2147, DOUBLE-STRUCK ITALIC SMALL E           , ExponentialE, exponentiale, ee
U+2148, DOUBLE-STRUCK ITALIC SMALL I           , ImaginaryI, ii
U+2153, VULGAR FRACTION ONE THIRD              , frac13
U+2154, VULGAR FRACTION TWO THIRDS             , frac23
U+2155, VULGAR FRACTION ONE FIFTH              , frac15
U+2156, VULGAR FRACTION TWO FIFTHS             , frac25
U+2157, VULGAR FRACTION THREE FIFTHS           , frac35
U+2158, VULGAR FRACTION FOUR FIFTHS            , frac45
U+2159, VULGAR FRACTION ONE SIXTH              , frac16
U+215A, VULGAR FRACTION FIVE SIXTHS            , frac56
U+215B, VULGAR FRACTION ONE EIGHTH             , frac18
U+215C, VULGAR FRACTION THREE EIGHTHS          , frac38
U+215D, VULGAR FRACTION FIVE EIGHTHS           , frac58
U+215E, VULGAR FRACTION SEVEN EIGHTHS          , frac78
U+2190, LEFTWARDS ARROW                        , larr, leftarrow, LeftArrow, slarr, ShortLeftArrow
U+2191, UPWARDS ARROW                          , uarr, uparrow, UpArrow, ShortUpArrow
U+2192, RIGHTWARDS ARROW                       , rarr, rightarrow, RightArrow, srarr, ShortRightArrow
U+2193, DOWNWARDS ARROW                        , darr, downarrow, DownArrow, ShortDownArrow
U+2194, LEFT RIGHT ARROW                       , harr, leftrightarrow, LeftRightArrow
U+2195, UP DOWN ARROW                          , varr, updownarrow, UpDownArrow
U+2196, NORTH WEST ARROW                       , nwarr, UpperLeftArrow, nwarrow
U+2197, NORTH EAST ARROW                       , nearr, UpperRightArrow, nearrow
U+2198, SOUTH EAST ARROW                       , searr, searrow, LowerRightArrow
U+2199, SOUTH WEST ARROW                       , swarr, swarrow, LowerLeftArrow
U+219A, LEFTWARDS ARROW WITH STROKE            , nlarr, nleftarrow
U+219B, RIGHTWARDS ARROW WITH STROKE           , nrarr, nrightarrow
U+219D, RIGHTWARDS WAVE ARROW                  , rarrw, rightsquigarrow
U+219D U+0338, RIGHTWARDS WAVE ARROW with slash       , nrarrw
U+219E, LEFTWARDS TWO HEADED ARROW             , Larr, twoheadleftarrow
U+219F, UPWARDS TWO HEADED ARROW               , Uarr
U+21A0, RIGHTWARDS TWO HEADED ARROW            , Rarr, twoheadrightarrow
U+21A1, DOWNWARDS TWO HEADED ARROW             , Darr
U+21A2, LEFTWARDS ARROW WITH TAIL              , larrtl, leftarrowtail
U+21A3, RIGHTWARDS ARROW WITH TAIL             , rarrtl, rightarrowtail
U+21A4, LEFTWARDS ARROW FROM BAR               , LeftTeeArrow, mapstoleft
U+21A5, UPWARDS ARROW FROM BAR                 , UpTeeArrow, mapstoup
U+21A6, RIGHTWARDS ARROW FROM BAR              , map, RightTeeArrow, mapsto
U+21A7, DOWNWARDS ARROW FROM BAR               , DownTeeArrow, mapstodown
U+21A9, LEFTWARDS ARROW WITH HOOK              , larrhk, hookleftarrow
U+21AA, RIGHTWARDS ARROW WITH HOOK             , rarrhk, hookrightarrow
U+21AB, LEFTWARDS ARROW WITH LOOP              , larrlp, looparrowleft
U+21AC, RIGHTWARDS ARROW WITH LOOP             , rarrlp, looparrowright
U+21AD, LEFT RIGHT WAVE ARROW                  , harrw, leftrightsquigarrow
U+21AE, LEFT RIGHT ARROW WITH STROKE           , nharr, nleftrightarrow
U+21B0, UPWARDS ARROW WITH TIP LEFTWARDS       , lsh, Lsh
U+21B1, UPWARDS ARROW WITH TIP RIGHTWARDS      , rsh, Rsh
U+21B2, DOWNWARDS ARROW WITH TIP LEFTWARDS     , ldsh
U+21B3, DOWNWARDS ARROW WITH TIP RIGHTWARDS    , rdsh
U+21B5, DOWNWARDS ARROW WITH CORNER LEFTWARDS  , crarr
U+21B6, ANTICLOCKWISE TOP SEMICIRCLE ARROW     , cularr, curvearrowleft
U+21B7, CLOCKWISE TOP SEMICIRCLE ARROW         , curarr, curvearrowright
U+21BA, ANTICLOCKWISE OPEN CIRCLE ARROW        , olarr, circlearrowleft
U+21BB, CLOCKWISE OPEN CIRCLE ARROW            , orarr, circlearrowright
U+21BC, LEFTWARDS HARPOON WITH BARB UPWARDS    , lharu, LeftVector, leftharpoonup
U+21BD, LEFTWARDS HARPOON WITH BARB DOWNWARDS  , lhard, leftharpoondown, DownLeftVector
U+21BE, UPWARDS HARPOON WITH BARB RIGHTWARDS   , uharr, upharpoonright, RightUpVector
U+21BF, UPWARDS HARPOON WITH BARB LEFTWARDS    , uharl, upharpoonleft, LeftUpVector
U+21C0, RIGHTWARDS HARPOON WITH BARB UPWARDS   , rharu, RightVector, rightharpoonup
U+21C1, RIGHTWARDS HARPOON WITH BARB DOWNWARDS , rhard, rightharpoondown, DownRightVector
U+21C2, DOWNWARDS HARPOON WITH BARB RIGHTWARDS , dharr, RightDownVector, downharpoonright
U+21C3, DOWNWARDS HARPOON WITH BARB LEFTWARDS  , dharl, LeftDownVector, downharpoonleft
U+21C4, RIGHTWARDS ARROW OVER LEFTWARDS ARROW  , rlarr, rightleftarrows, RightArrowLeftArrow
U+21C5, UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW, udarr, UpArrowDownArrow
U+21C6, LEFTWARDS ARROW OVER RIGHTWARDS ARROW  , lrarr, leftrightarrows, LeftArrowRightArrow
U+21C7, LEFTWARDS PAIRED ARROWS                , llarr, leftleftarrows
U+21C8, UPWARDS PAIRED ARROWS                  , uuarr, upuparrows
U+21C9, RIGHTWARDS PAIRED ARROWS               , rrarr, rightrightarrows
U+21CA, DOWNWARDS PAIRED ARROWS                , ddarr, downdownarrows
U+21CB, LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON, lrhar, ReverseEquilibrium, leftrightharpoons
U+21CC, RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON, rlhar, rightleftharpoons, Equilibrium
U+21CD, LEFTWARDS DOUBLE ARROW WITH STROKE     , nlArr, nLeftarrow
U+21CE, LEFT RIGHT DOUBLE ARROW WITH STROKE    , nhArr, nLeftrightarrow
U+21CF, RIGHTWARDS DOUBLE ARROW WITH STROKE    , nrArr, nRightarrow
U+21D0, LEFTWARDS DOUBLE ARROW                 , lArr, Leftarrow, DoubleLeftArrow
U+21D1, UPWARDS DOUBLE ARROW                   , uArr, Uparrow, DoubleUpArrow
U+21D2, RIGHTWARDS DOUBLE ARROW                , rArr, Rightarrow, Implies, DoubleRightArrow
U+21D3, DOWNWARDS DOUBLE ARROW                 , dArr, Downarrow, DoubleDownArrow
U+21D4, LEFT RIGHT DOUBLE ARROW                , hArr, Leftrightarrow, DoubleLeftRightArrow, iff
U+21D5, UP DOWN DOUBLE ARROW                   , vArr, Updownarrow, DoubleUpDownArrow
U+21D6, NORTH WEST DOUBLE ARROW                , nwArr
U+21D7, NORTH EAST DOUBLE ARROW                , neArr
U+21D8, SOUTH EAST DOUBLE ARROW                , seArr
U+21D9, SOUTH WEST DOUBLE ARROW                , swArr
U+21DA, LEFTWARDS TRIPLE ARROW                 , lAarr, Lleftarrow
U+21DB, RIGHTWARDS TRIPLE ARROW                , rAarr, Rrightarrow
U+21DD, RIGHTWARDS SQUIGGLE ARROW              , zigrarr
U+21E4, LEFTWARDS ARROW TO BAR                 , larrb, LeftArrowBar
U+21E5, RIGHTWARDS ARROW TO BAR                , rarrb, RightArrowBar
U+21F5, DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW, duarr, DownArrowUpArrow
U+21FD, LEFTWARDS OPEN-HEADED ARROW            , loarr
U+21FE, RIGHTWARDS OPEN-HEADED ARROW           , roarr
U+21FF, LEFT RIGHT OPEN-HEADED ARROW           , hoarr
U+2200, FOR ALL                                , forall, ForAll
U+2201, COMPLEMENT                             , comp, complement
U+2202, PARTIAL DIFFERENTIAL                   , part, PartialD
U+2202 U+0338, PARTIAL DIFFERENTIAL with slash        , npart
U+2203, THERE EXISTS                           , exist, Exists
U+2204, THERE DOES NOT EXIST                   , nexist, NotExists, nexists
U+2205, EMPTY SET                              , empty, emptyset, emptyv, varnothing
U+2207, NABLA                                  , nabla, Del
U+2208, ELEMENT OF                             , isin, isinv, Element, in
U+2209, NOT AN ELEMENT OF                      , notin, NotElement, notinva
U+220B, CONTAINS AS MEMBER                     , niv, ReverseElement, ni, SuchThat
U+220C, DOES NOT CONTAIN AS MEMBER             , notni, notniva, NotReverseElement
U+220F, N-ARY PRODUCT                          , prod, Product
U+2210, N-ARY COPRODUCT                        , coprod, Coproduct
U+2211, N-ARY SUMMATION                        , sum, Sum
U+2212, MINUS SIGN                             , minus
U+2213, MINUS-OR-PLUS SIGN                     , mnplus, mp, MinusPlus
U+2214, DOT PLUS                               , plusdo, dotplus
U+2216, SET MINUS                              , setmn, setminus, Backslash, ssetmn, smallsetminus
U+2217, ASTERISK OPERATOR                      , lowast
U+2218, RING OPERATOR                          , compfn, SmallCircle
U+221A, SQUARE ROOT                            , radic, Sqrt
U+221D, PROPORTIONAL TO                        , prop, propto, Proportional, vprop, varpropto
U+221E, INFINITY                               , infin
U+221F, RIGHT ANGLE                            , angrt
U+2220, ANGLE                                  , ang, angle
U+2220 U+20D2, ANGLE with vertical line               , nang
U+2221, MEASURED ANGLE                         , angmsd, measuredangle
U+2222, SPHERICAL ANGLE                        , angsph
U+2223, DIVIDES                                , mid, VerticalBar, smid, shortmid
U+2224, DOES NOT DIVIDE                        , nmid, NotVerticalBar, nsmid, nshortmid
U+2225, PARALLEL TO                            , par, parallel, DoubleVerticalBar, spar, shortparallel
U+2226, NOT PARALLEL TO                        , npar, nparallel, NotDoubleVerticalBar, nspar, nshortparallel
U+2227, LOGICAL AND                            , and, wedge
U+2228, LOGICAL OR                             , or, vee
U+2229, INTERSECTION                           , cap
U+2229 U+FE00, INTERSECTION with serifs               , caps
U+222A, UNION                                  , cup
U+222A U+FE00, UNION with serifs                      , cups
U+222B, INTEGRAL                               , int, Integral
U+222C, DOUBLE INTEGRAL                        , Int
U+222D, TRIPLE INTEGRAL                        , tint, iiint
U+222E, CONTOUR INTEGRAL                       , conint, oint, ContourIntegral
U+222F, SURFACE INTEGRAL                       , Conint, DoubleContourIntegral
U+2230, VOLUME INTEGRAL                        , Cconint
U+2231, CLOCKWISE INTEGRAL                     , cwint
U+2232, CLOCKWISE CONTOUR INTEGRAL             , cwconint, ClockwiseContourIntegral
U+2233, ANTICLOCKWISE CONTOUR INTEGRAL         , awconint, CounterClockwiseContourIntegral
U+2234, THEREFORE                              , there4, therefore, Therefore
U+2235, BECAUSE                                , becaus, because, Because
U+2236, RATIO                                  , ratio
U+2237, PROPORTION                             , Colon, Proportion
U+2238, DOT MINUS                              , minusd, dotminus
U+223A, GEOMETRIC PROPORTION                   , mDDot
U+223B, HOMOTHETIC                             , homtht
U+223C, TILDE OPERATOR                         , sim, Tilde, thksim, thicksim
U+223C U+20D2, TILDE OPERATOR with vertical line      , nvsim
U+223D, REVERSED TILDE                         , bsim, backsim
U+223D U+0331, REVERSED TILDE with underline          , race
U+223E, INVERTED LAZY S                        , ac, mstpos
U+223E U+0333, INVERTED LAZY S with double underline  , acE
U+223F, SINE WAVE                              , acd
U+2240, WREATH PRODUCT                         , wreath, VerticalTilde, wr
U+2241, NOT TILDE                              , nsim, NotTilde
U+2242, MINUS TILDE                            , esim, EqualTilde, eqsim
U+2242 U+0338, MINUS TILDE with slash                 , NotEqualTilde, nesim
U+2243, ASYMPTOTICALLY EQUAL TO                , sime, TildeEqual, simeq
U+2244, NOT ASYMPTOTICALLY EQUAL TO            , nsime, nsimeq, NotTildeEqual
U+2245, APPROXIMATELY EQUAL TO                 , cong, TildeFullEqual
U+2246, APPROXIMATELY BUT NOT ACTUALLY EQUAL TO, simne
U+2247, NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO, ncong, NotTildeFullEqual
U+2248, ALMOST EQUAL TO                        , asymp, ap, TildeTilde, approx, thkap, thickapprox
U+2249, NOT ALMOST EQUAL TO                    , nap, NotTildeTilde, napprox
U+224A, ALMOST EQUAL OR EQUAL TO               , ape, approxeq
U+224B, TRIPLE TILDE                           , apid
U+224B U+0338, TRIPLE TILDE with slash                , napid
U+224C, ALL EQUAL TO                           , bcong, backcong
U+224D, EQUIVALENT TO                          , asympeq, CupCap
U+224D U+20D2, EQUIVALENT TO with vertical line       , nvap
U+224E, GEOMETRICALLY EQUIVALENT TO            , bump, HumpDownHump, Bumpeq
U+224E U+0338, GEOMETRICALLY EQUIVALENT TO with slash , NotHumpDownHump, nbump
U+224F, DIFFERENCE BETWEEN                     , bumpe, HumpEqual, bumpeq
U+224F U+0338, DIFFERENCE BETWEEN with slash          , nbumpe, NotHumpEqual
U+2250, APPROACHES THE LIMIT                   , esdot, DotEqual, doteq
U+2250 U+0338, APPROACHES THE LIMIT with slash        , nedot
U+2251, GEOMETRICALLY EQUAL TO                 , eDot, doteqdot
U+2252, APPROXIMATELY EQUAL TO OR THE IMAGE OF , efDot, fallingdotseq
U+2253, IMAGE OF OR APPROXIMATELY EQUAL TO     , erDot, risingdotseq
U+2254, COLON EQUALS                           , colone, coloneq, Assign
U+2255, EQUALS COLON                           , ecolon, eqcolon
U+2256, RING IN EQUAL TO                       , ecir, eqcirc
U+2257, RING EQUAL TO                          , cire, circeq
U+2259, ESTIMATES                              , wedgeq
U+225A, EQUIANGULAR TO                         , veeeq
U+225C, DELTA EQUAL TO                         , trie, triangleq
U+225F, QUESTIONED EQUAL TO                    , equest, questeq
U+2260, NOT EQUAL TO                           , ne, NotEqual
U+2261, IDENTICAL TO                           , equiv, Congruent
U+2261 U+20E5, IDENTICAL TO with reverse slash        , bnequiv
U+2262, NOT IDENTICAL TO                       , nequiv, NotCongruent
U+2264, LESS-THAN OR EQUAL TO                  , le, leq
U+2264 U+20D2, LESS-THAN OR EQUAL TO with vertical line, nvle
U+2265, GREATER-THAN OR EQUAL TO               , ge, GreaterEqual, geq
U+2265 U+20D2, GREATER-THAN OR EQUAL TO with vertical line, nvge
U+2266, LESS-THAN OVER EQUAL TO                , lE, LessFullEqual, leqq
U+2266 U+0338, LESS-THAN OVER EQUAL TO with slash     , nlE, nleqq
U+2267, GREATER-THAN OVER EQUAL TO             , gE, GreaterFullEqual, geqq
U+2267 U+0338, GREATER-THAN OVER EQUAL TO with slash  , ngE, ngeqq, NotGreaterFullEqual
U+2268, LESS-THAN BUT NOT EQUAL TO             , lnE, lneqq
U+2268 U+FE00, LESS-THAN BUT NOT EQUAL TO - with vertical stroke, lvnE, lvertneqq
U+2269, GREATER-THAN BUT NOT EQUAL TO          , gnE, gneqq
U+2269 U+FE00, GREATER-THAN BUT NOT EQUAL TO - with vertical stroke, gvnE, gvertneqq
U+226A, MUCH LESS-THAN                         , Lt, NestedLessLess, ll
U+226A U+0338, MUCH LESS THAN with slash              , nLtv, NotLessLess
U+226A U+20D2, MUCH LESS THAN with vertical line      , nLt
U+226B, MUCH GREATER-THAN                      , Gt, NestedGreaterGreater, gg
U+226B U+0338, MUCH GREATER THAN with slash           , nGtv, NotGreaterGreater
U+226B U+20D2, MUCH GREATER THAN with vertical line   , nGt
U+226C, BETWEEN                                , twixt, between
U+226D, NOT EQUIVALENT TO                      , NotCupCap
U+226E, NOT LESS-THAN                          , nlt, NotLess, nless
U+226F, NOT GREATER-THAN                       , ngt, NotGreater, ngtr
U+2270, NEITHER LESS-THAN NOR EQUAL TO         , nle, NotLessEqual, nleq
U+2271, NEITHER GREATER-THAN NOR EQUAL TO      , nge, NotGreaterEqual, ngeq
U+2272, LESS-THAN OR EQUIVALENT TO             , lsim, LessTilde, lesssim
U+2273, GREATER-THAN OR EQUIVALENT TO          , gsim, gtrsim, GreaterTilde
U+2274, NEITHER LESS-THAN NOR EQUIVALENT TO    , nlsim, NotLessTilde
U+2275, NEITHER GREATER-THAN NOR EQUIVALENT TO , ngsim, NotGreaterTilde
U+2276, LESS-THAN OR GREATER-THAN              , lg, lessgtr, LessGreater
U+2277, GREATER-THAN OR LESS-THAN              , gl, gtrless, GreaterLess
U+2278, NEITHER LESS-THAN NOR GREATER-THAN     , ntlg, NotLessGreater
U+2279, NEITHER GREATER-THAN NOR LESS-THAN     , ntgl, NotGreaterLess
U+227A, PRECEDES                               , pr, Precedes, prec
U+227B, SUCCEEDS                               , sc, Succeeds, succ
U+227C, PRECEDES OR EQUAL TO                   , prcue, PrecedesSlantEqual, preccurlyeq
U+227D, SUCCEEDS OR EQUAL TO                   , sccue, SucceedsSlantEqual, succcurlyeq
U+227E, PRECEDES OR EQUIVALENT TO              , prsim, precsim, PrecedesTilde
U+227F, SUCCEEDS OR EQUIVALENT TO              , scsim, succsim, SucceedsTilde
U+227F U+0338, SUCCEEDS OR EQUIVALENT TO with slash   , NotSucceedsTilde
U+2280, DOES NOT PRECEDE                       , npr, nprec, NotPrecedes
U+2281, DOES NOT SUCCEED                       , nsc, nsucc, NotSucceeds
U+2282, SUBSET OF                              , sub, subset
U+2282 U+20D2, SUBSET OF with vertical line           , vnsub, nsubset, NotSubset
U+2283, SUPERSET OF                            , sup, supset, Superset
U+2283 U+20D2, SUPERSET OF with vertical line         , vnsup, nsupset, NotSuperset
U+2284, NOT A SUBSET OF                        , nsub
U+2285, NOT A SUPERSET OF                      , nsup
U+2286, SUBSET OF OR EQUAL TO                  , sube, SubsetEqual, subseteq
U+2287, SUPERSET OF OR EQUAL TO                , supe, supseteq, SupersetEqual
U+2288, NEITHER A SUBSET OF NOR EQUAL TO       , nsube, nsubseteq, NotSubsetEqual
U+2289, NEITHER A SUPERSET OF NOR EQUAL TO     , nsupe, nsupseteq, NotSupersetEqual
U+228A, SUBSET OF WITH NOT EQUAL TO            , subne, subsetneq
U+228A U+FE00, SUBSET OF WITH NOT EQUAL TO - variant with stroke through bottom members, vsubne, varsubsetneq
U+228B, SUPERSET OF WITH NOT EQUAL TO          , supne, supsetneq
U+228B U+FE00, SUPERSET OF WITH NOT EQUAL TO - variant with stroke through bottom members, vsupne, varsupsetneq
U+228D, MULTISET MULTIPLICATION                , cupdot
U+228E, MULTISET UNION                         , uplus, UnionPlus
U+228F, SQUARE IMAGE OF                        , sqsub, SquareSubset, sqsubset
U+228F U+0338, SQUARE IMAGE OF with slash             , NotSquareSubset
U+2290, SQUARE ORIGINAL OF                     , sqsup, SquareSuperset, sqsupset
U+2290 U+0338, SQUARE ORIGINAL OF with slash          , NotSquareSuperset
U+2291, SQUARE IMAGE OF OR EQUAL TO            , sqsube, SquareSubsetEqual, sqsubseteq
U+2292, SQUARE ORIGINAL OF OR EQUAL TO         , sqsupe, SquareSupersetEqual, sqsupseteq
U+2293, SQUARE CAP                             , sqcap, SquareIntersection
U+2293 U+FE00, SQUARE CAP with serifs                 , sqcaps
U+2294, SQUARE CUP                             , sqcup, SquareUnion
U+2294 U+FE00, SQUARE CUP with serifs                 , sqcups
U+2295, CIRCLED PLUS                           , oplus, CirclePlus
U+2296, CIRCLED MINUS                          , ominus, CircleMinus
U+2297, CIRCLED TIMES                          , otimes, CircleTimes
U+2298, CIRCLED DIVISION SLASH                 , osol
U+2299, CIRCLED DOT OPERATOR                   , odot, CircleDot
U+229A, CIRCLED RING OPERATOR                  , ocir, circledcirc
U+229B, CIRCLED ASTERISK OPERATOR              , oast, circledast
U+229D, CIRCLED DASH                           , odash, circleddash
U+229E, SQUARED PLUS                           , plusb, boxplus
U+229F, SQUARED MINUS                          , minusb, boxminus
U+22A0, SQUARED TIMES                          , timesb, boxtimes
U+22A1, SQUARED DOT OPERATOR                   , sdotb, dotsquare
U+22A2, RIGHT TACK                             , vdash, RightTee
U+22A3, LEFT TACK                              , dashv, LeftTee
U+22A4, DOWN TACK                              , top, DownTee
U+22A5, UP TACK                                , bottom, bot, perp, UpTee
U+22A7, MODELS                                 , models
U+22A8, TRUE                                   , vDash, DoubleRightTee
U+22A9, FORCES                                 , Vdash
U+22AA, TRIPLE VERTICAL BAR RIGHT TURNSTILE    , Vvdash
U+22AB, DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE, VDash
U+22AC, DOES NOT PROVE                         , nvdash
U+22AD, NOT TRUE                               , nvDash
U+22AE, DOES NOT FORCE                         , nVdash
U+22AF, NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE, nVDash
U+22B0, PRECEDES UNDER RELATION                , prurel
U+22B2, NORMAL SUBGROUP OF                     , vltri, vartriangleleft, LeftTriangle
U+22B3, CONTAINS AS NORMAL SUBGROUP            , vrtri, vartriangleright, RightTriangle
U+22B4, NORMAL SUBGROUP OF OR EQUAL TO         , ltrie, trianglelefteq, LeftTriangleEqual
U+22B4 U+20D2, NORMAL SUBGROUP OF OR EQUAL TO with vertical line, nvltrie
U+22B5, CONTAINS AS NORMAL SUBGROUP OR EQUAL TO, rtrie, trianglerighteq, RightTriangleEqual
U+22B5 U+20D2, CONTAINS AS NORMAL SUBGROUP OR EQUAL TO with vertical line, nvrtrie
U+22B6, ORIGINAL OF                            , origof
U+22B7, IMAGE OF                               , imof
U+22B8, MULTIMAP                               , mumap, multimap
U+22B9, HERMITIAN CONJUGATE MATRIX             , hercon
U+22BA, INTERCALATE                            , intcal, intercal
U+22BB, XOR                                    , veebar
U+22BD, NOR                                    , barvee
U+22BE, RIGHT ANGLE WITH ARC                   , angrtvb
U+22BF, RIGHT TRIANGLE                         , lrtri
U+22C0, N-ARY LOGICAL AND                      , xwedge, Wedge, bigwedge
U+22C1, N-ARY LOGICAL OR                       , xvee, Vee, bigvee
U+22C2, N-ARY INTERSECTION                     , xcap, Intersection, bigcap
U+22C3, N-ARY UNION                            , xcup, Union, bigcup
U+22C4, DIAMOND OPERATOR                       , diam, diamond, Diamond
U+22C5, DOT OPERATOR                           , sdot
U+22C6, STAR OPERATOR                          , sstarf, Star
U+22C7, DIVISION TIMES                         , divonx, divideontimes
U+22C8, BOWTIE                                 , bowtie
U+22C9, LEFT NORMAL FACTOR SEMIDIRECT PRODUCT  , ltimes
U+22CA, RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT , rtimes
U+22CB, LEFT SEMIDIRECT PRODUCT                , lthree, leftthreetimes
U+22CC, RIGHT SEMIDIRECT PRODUCT               , rthree, rightthreetimes
U+22CD, REVERSED TILDE EQUALS                  , bsime, backsimeq
U+22CE, CURLY LOGICAL OR                       , cuvee, curlyvee
U+22CF, CURLY LOGICAL AND                      , cuwed, curlywedge
U+22D0, DOUBLE SUBSET                          , Sub, Subset
